Stage,Nozzle,Height (m),Manufacture CO2 (kg),Battery CO2 (kg),Dye CO2 (kg),Water Pumping CO2 (kg),Maintenance Oil CO2 (kg),Total CO2 (kg),Manufacture Energy (MJ),Battery Energy (MJ),Dye Energy (MJ),Water Pumping Energy (MJ),Maintenance Oil Energy (MJ),Total Energy (MJ)
Rosette,Flat Fan,1.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Flat Fan,2.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Flat Fan,2.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Flat Fan,3.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Wide Flat Fan,1.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Wide Flat Fan,2.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Wide Flat Fan,2.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Wide Flat Fan,3.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Hollow Cone,1.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Hollow Cone,2.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Hollow Cone,2.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Hollow Cone,3.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Twin Flat Fan,1.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Twin Flat Fan,2.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Twin Flat Fan,2.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Rosette,Twin Flat Fan,3.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Flat Fan,1.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Flat Fan,2.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Flat Fan,2.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Flat Fan,3.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Wide Flat Fan,1.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Wide Flat Fan,2.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Wide Flat Fan,2.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Wide Flat Fan,3.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Hollow Cone,1.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Hollow Cone,2.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Hollow Cone,2.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Hollow Cone,3.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Twin Flat Fan,1.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Twin Flat Fan,2.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Twin Flat Fan,2.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Flowering,Twin Flat Fan,3.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Pod Formation,Flat Fan,1.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Pod Formation,Flat Fan,2.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Pod Formation,Flat Fan,2.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Pod Formation,Flat Fan,3.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Pod Formation,Wide Flat Fan,1.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Pod Formation,Wide Flat Fan,2.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Pod Formation,Wide Flat Fan,2.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Pod Formation,Wide Flat Fan,3.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Pod Formation,Hollow Cone,1.5,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
Pod Formation,Hollow Cone,2.0,20.0,1.6,0.0125,0.4,0.0027,22.02,200.0,7.2,0.0025,1.8,0.0002,209.0
