Nozzle,Stage,Height,Coverage_Mean,Coverage_SD
Flat Fan (N-1),Flowering,1.5,76.57000000000001,13.725640240076238
Flat Fan (N-1),Flowering,2.0,79.53666666666666,7.699703457493239
Flat Fan (N-1),Flowering,2.5,82.65333333333334,4.136935258537816
Flat Fan (N-1),Flowering,3.0,68.74333333333333,10.528116324078745
Flat Fan (N-1),Pod Formation,1.5,69.70666666666666,7.668091896510727
Flat Fan (N-1),Pod Formation,2.0,72.86333333333333,10.734460085786019
Flat Fan (N-1),Pod Formation,2.5,64.75333333333333,4.1665973327564805
Flat Fan (N-1),Pod Formation,3.0,79.20666666666666,10.290093941910023
Flat Fan (N-1),Rosette,1.5,77.09,12.56740227732048
Flat Fan (N-1),Rosette,2.0,72.56333333333333,9.753462633000309
Flat Fan (N-1),Rosette,2.5,74.23666666666666,4.53371076860151
Flat Fan (N-1),Rosette,3.0,68.46666666666665,2.301745714307583
Flat Fan - Wide (N-2),Flowering,1.5,76.44,11.4768506132998
Flat Fan - Wide (N-2),Flowering,2.0,80.04,4.129806290856751
Flat Fan - Wide (N-2),Flowering,2.5,77.17,10.967456405201707
Flat Fan - Wide (N-2),Flowering,3.0,67.61333333333333,7.618558481322652
Flat Fan - Wide (N-2),Pod Formation,1.5,71.72,10.014474524407156
Flat Fan - Wide (N-2),Pod Formation,2.0,79.65666666666667,1.9070745484467304
Flat Fan - Wide (N-2),Pod Formation,2.5,71.46,12.645445820531592
Flat Fan - Wide (N-2),Pod Formation,3.0,77.99,10.652103078735207
Flat Fan - Wide (N-2),Rosette,1.5,75.75666666666667,9.966049033259537
Flat Fan - Wide (N-2),Rosette,2.0,79.09666666666666,12.533683948996535
Flat Fan - Wide (N-2),Rosette,2.5,75.98666666666666,11.429896470805556
Flat Fan - Wide (N-2),Rosette,3.0,73.11,11.049180965121348
Hollow Cone (N-3),Flowering,1.5,76.62666666666667,8.41566000580664
Hollow Cone (N-3),Flowering,2.0,74.97333333333334,11.947946825012801
Hollow Cone (N-3),Flowering,2.5,85.49000000000001,3.274125837532823
Hollow Cone (N-3),Flowering,3.0,70.90333333333334,11.382602221519184
Hollow Cone (N-3),Pod Formation,1.5,79.25333333333333,8.41810152785848
Hollow Cone (N-3),Pod Formation,2.0,77.23666666666666,8.321756625456755
Hollow Cone (N-3),Pod Formation,2.5,71.03,13.258676404528464
Hollow Cone (N-3),Pod Formation,3.0,72.17333333333333,1.4620989478600086
Hollow Cone (N-3),Rosette,1.5,79.58333333333333,9.825529671897247
Hollow Cone (N-3),Rosette,2.0,65.60333333333334,2.8613691361537628
Hollow Cone (N-3),Rosette,2.5,72.32,10.912969348440416
Hollow Cone (N-3),Rosette,3.0,73.08,11.196075205177923
Twin Flat Fan (N-4),Flowering,1.5,82.32666666666667,8.815873940417559
Twin Flat Fan (N-4),Flowering,2.0,85.45333333333333,4.508040964025658
Twin Flat Fan (N-4),Flowering,2.5,76.06,14.760328587128408
Twin Flat Fan (N-4),Flowering,3.0,81.06666666666666,8.075477282076477
Twin Flat Fan (N-4),Pod Formation,1.5,72.64333333333333,11.948909294715289
Twin Flat Fan (N-4),Pod Formation,2.0,73.83666666666666,1.2908266085471407
Twin Flat Fan (N-4),Pod Formation,2.5,83.47,10.50531770105026
Twin Flat Fan (N-4),Pod Formation,3.0,67.66333333333334,8.114384347153718
Twin Flat Fan (N-4),Rosette,1.5,67.78666666666666,11.828737605227927
Twin Flat Fan (N-4),Rosette,2.0,65.75666666666666,3.445001209482133
Twin Flat Fan (N-4),Rosette,2.5,72.95333333333333,3.0056835051836934
Twin Flat Fan (N-4),Rosette,3.0,65.26666666666667,4.079979575112272
