Nozzle,Stage,Height,Density_Mean,Density_SD
Flat Fan (N-1),Flowering,1.5,34.45333333333333,5.8994434765775425
Flat Fan (N-1),Flowering,2.0,31.116666666666664,13.645176192828488
Flat Fan (N-1),Flowering,2.5,30.453333333333333,6.378889663047427
Flat Fan (N-1),Flowering,3.0,35.00333333333334,6.113692283173345
Flat Fan (N-1),Pod Formation,1.5,33.89333333333334,6.651949588904993
Flat Fan (N-1),Pod Formation,2.0,28.02333333333333,6.34752182614076
Flat Fan (N-1),Pod Formation,2.5,37.556666666666665,9.027980578918706
Flat Fan (N-1),Pod Formation,3.0,34.81666666666666,12.066239403116999
Flat Fan (N-1),Rosette,1.5,36.24666666666666,8.302001766642388
Flat Fan (N-1),Rosette,2.0,36.48,14.427310906749046
Flat Fan (N-1),Rosette,2.5,28.816666666666666,7.3209721576668585
Flat Fan (N-1),Rosette,3.0,31.266666666666666,9.603907190999573
Flat Fan - Wide (N-2),Flowering,1.5,37.943333333333335,13.732622958973767
Flat Fan - Wide (N-2),Flowering,2.0,38.27,15.740949780747032
Flat Fan - Wide (N-2),Flowering,2.5,35.99666666666667,3.1721496391774027
Flat Fan - Wide (N-2),Flowering,3.0,35.68333333333333,14.830935012106734
Flat Fan - Wide (N-2),Pod Formation,1.5,43.29333333333333,2.156950007147438
Flat Fan - Wide (N-2),Pod Formation,2.0,36.156666666666666,10.673876209387727
Flat Fan - Wide (N-2),Pod Formation,2.5,29.51,4.790062630070718
Flat Fan - Wide (N-2),Pod Formation,3.0,38.57666666666666,8.022975341687976
Flat Fan - Wide (N-2),Rosette,1.5,34.056666666666665,8.575047133009436
Flat Fan - Wide (N-2),Rosette,2.0,33.77333333333333,10.560001578282709
Flat Fan - Wide (N-2),Rosette,2.5,37.57,3.838398103375935
Flat Fan - Wide (N-2),Rosette,3.0,26.75333333333333,6.276100169160249
Hollow Cone (N-3),Flowering,1.5,39.413333333333334,6.129293053308296
Hollow Cone (N-3),Flowering,2.0,35.43666666666667,7.804590529511033
Hollow Cone (N-3),Flowering,2.5,34.31666666666667,11.226136171155831
Hollow Cone (N-3),Flowering,3.0,36.58,7.942487016042266
Hollow Cone (N-3),Pod Formation,1.5,30.236666666666665,2.1633384694340663
Hollow Cone (N-3),Pod Formation,2.0,39.79,9.22717183106503
Hollow Cone (N-3),Pod Formation,2.5,30.16,4.348804433404658
Hollow Cone (N-3),Pod Formation,3.0,37.74666666666667,8.654255215403191
Hollow Cone (N-3),Rosette,1.5,37.86,3.905854579986304
Hollow Cone (N-3),Rosette,2.0,31.88333333333333,12.473304828045103
Hollow Cone (N-3),Rosette,2.5,33.74666666666666,8.109268359928247
Hollow Cone (N-3),Rosette,3.0,32.589999999999996,9.446750764151659
Twin Flat Fan (N-4),Flowering,1.5,37.79666666666667,7.324181410460376
Twin Flat Fan (N-4),Flowering,2.0,34.776666666666664,9.176776848836052
Twin Flat Fan (N-4),Flowering,2.5,39.52,12.558960944281974
Twin Flat Fan (N-4),Flowering,3.0,34.86666666666667,11.846908176116386
Twin Flat Fan (N-4),Pod Formation,1.5,40.19,8.4442110347859
Twin Flat Fan (N-4),Pod Formation,2.0,30.80666666666667,2.515359483917424
Twin Flat Fan (N-4),Pod Formation,2.5,29.080000000000002,7.1793941248548245
Twin Flat Fan (N-4),Pod Formation,3.0,40.31333333333333,11.15174575272111
Twin Flat Fan (N-4),Rosette,1.5,40.76,4.215910340602603
Twin Flat Fan (N-4),Rosette,2.0,29.633333333333336,13.310707469302047
Twin Flat Fan (N-4),Rosette,2.5,40.016666666666666,7.636847080656605
Twin Flat Fan (N-4),Rosette,3.0,43.57,6.337183917166994
