Nozzle,Stage,Height,Penetration_Mean,Penetration_SD
Flat Fan (N-1),Flowering,1.5,88.83666666666666,1.9754830632868838
Flat Fan (N-1),Flowering,2.0,79.61666666666666,15.593849214781235
Flat Fan (N-1),Flowering,2.5,81.00999999999999,10.300538820857865
Flat Fan (N-1),Flowering,3.0,75.89999999999999,4.090146696635712
Flat Fan (N-1),Pod Formation,1.5,96.01666666666667,0.915113836270298
Flat Fan (N-1),Pod Formation,2.0,83.48,6.5689344645840375
Flat Fan (N-1),Pod Formation,2.5,78.32,6.464201420129175
Flat Fan (N-1),Pod Formation,3.0,89.02666666666666,12.8148988811201
Flat Fan (N-1),Rosette,1.5,81.88666666666667,9.346070475517148
Flat Fan (N-1),Rosette,2.0,84.29,13.334500365593005
Flat Fan (N-1),Rosette,2.5,86.74333333333334,10.12348424868302
Flat Fan (N-1),Rosette,3.0,92.52333333333333,3.346884123081248
Flat Fan - Wide (N-2),Flowering,1.5,81.15666666666667,14.223910620266604
Flat Fan - Wide (N-2),Flowering,2.0,82.85666666666667,8.299001948025643
Flat Fan - Wide (N-2),Flowering,2.5,88.57333333333334,6.84949876511657
Flat Fan - Wide (N-2),Flowering,3.0,71.87666666666667,1.7147108599799967
Flat Fan - Wide (N-2),Pod Formation,1.5,79.91000000000001,6.046048296201408
Flat Fan - Wide (N-2),Pod Formation,2.0,84.33999999999999,9.2963379886921
Flat Fan - Wide (N-2),Pod Formation,2.5,79.71333333333332,3.187496405226732
Flat Fan - Wide (N-2),Pod Formation,3.0,83.51,3.4123745398182854
Flat Fan - Wide (N-2),Rosette,1.5,79.25333333333333,2.8500935657155777
Flat Fan - Wide (N-2),Rosette,2.0,89.02999999999999,5.572369334493184
Flat Fan - Wide (N-2),Rosette,2.5,86.55666666666667,9.080359757924423
Flat Fan - Wide (N-2),Rosette,3.0,84.36333333333333,4.763951441118327
Hollow Cone (N-3),Flowering,1.5,88.14666666666666,8.258827600412383
Hollow Cone (N-3),Flowering,2.0,89.65666666666668,6.09468894475619
Hollow Cone (N-3),Flowering,2.5,84.07333333333334,7.864663586786991
Hollow Cone (N-3),Flowering,3.0,80.54,10.765337895300833
Hollow Cone (N-3),Pod Formation,1.5,78.90666666666668,13.652579731806487
Hollow Cone (N-3),Pod Formation,2.0,91.48,3.7116977247615393
Hollow Cone (N-3),Pod Formation,2.5,93.02333333333333,3.2337954996154785
Hollow Cone (N-3),Pod Formation,3.0,85.97666666666667,8.315030567191759
Hollow Cone (N-3),Rosette,1.5,81.80666666666667,10.951165843568134
Hollow Cone (N-3),Rosette,2.0,82.61,2.1426385602802904
Hollow Cone (N-3),Rosette,2.5,85.01666666666667,10.710024898819487
Hollow Cone (N-3),Rosette,3.0,88.38,11.093795563286717
Twin Flat Fan (N-4),Flowering,1.5,89.85666666666667,9.637848999301312
Twin Flat Fan (N-4),Flowering,2.0,82.30333333333333,6.023838753928707
Twin Flat Fan (N-4),Flowering,2.5,79.55666666666667,4.629085582848225
Twin Flat Fan (N-4),Flowering,3.0,82.13333333333333,9.072190106767676
Twin Flat Fan (N-4),Pod Formation,1.5,90.65333333333332,5.2390870706005
Twin Flat Fan (N-4),Pod Formation,2.0,76.98333333333333,7.363194506009832
Twin Flat Fan (N-4),Pod Formation,2.5,85.55666666666667,12.961737280678584
Twin Flat Fan (N-4),Pod Formation,3.0,92.25666666666666,4.651841929100058
Twin Flat Fan (N-4),Rosette,1.5,80.98333333333333,10.923608988486066
Twin Flat Fan (N-4),Rosette,2.0,77.14666666666666,4.920897614595661
Twin Flat Fan (N-4),Rosette,2.5,84.21333333333332,10.007169096869172
Twin Flat Fan (N-4),Rosette,3.0,80.33333333333333,12.841465388861712
